,model,data,series,metrics,values
0,model_XGB,train,imbalanced,tp,191.0
1,model_XGB,val,imbalanced,tp,5.0
2,model_XGB,test,imbalanced,tp,3.0
3,model_XGB,train,imbalanced,tp,191.0
4,model_XGB,val,imbalanced,tp,8.0
5,model_XGB,test,imbalanced,tp,3.0
6,model_XGB,train,imbalanced,tp,191.0
7,model_XGB,val,imbalanced,tp,7.0
8,model_XGB,test,imbalanced,tp,4.0
9,model_XGB,train,imbalanced,tp,192.0
10,model_XGB,val,imbalanced,tp,6.0
11,model_XGB,test,imbalanced,tp,3.0
12,model_XGB,train,imbalanced,tp,192.0
13,model_XGB,val,imbalanced,tp,6.0
14,model_XGB,test,imbalanced,tp,4.0
15,model_XGB,train,imbalanced,tp,192.0
16,model_XGB,val,imbalanced,tp,4.0
17,model_XGB,test,imbalanced,tp,3.0
18,model_XGB,train,imbalanced,tp,192.0
19,model_XGB,val,imbalanced,tp,7.0
20,model_XGB,test,imbalanced,tp,4.0
21,model_XGB,train,imbalanced,tp,192.0
22,model_XGB,val,imbalanced,tp,5.0
23,model_XGB,test,imbalanced,tp,3.0
24,model_XGB,train,imbalanced,tp,192.0
25,model_XGB,val,imbalanced,tp,7.0
26,model_XGB,test,imbalanced,tp,4.0
27,model_XGB,train,imbalanced,tp,192.0
28,model_XGB,val,imbalanced,tp,4.0
29,model_XGB,test,imbalanced,tp,3.0
30,model_XGB,train,SMOTE,tp,999.0
31,model_XGB,val,SMOTE,tp,0.0
32,model_XGB,test,SMOTE,tp,4.0
33,model_XGB,train,SMOTE,tp,999.0
34,model_XGB,val,SMOTE,tp,0.0
35,model_XGB,test,SMOTE,tp,6.0
36,model_XGB,train,SMOTE,tp,998.0
37,model_XGB,val,SMOTE,tp,0.0
38,model_XGB,test,SMOTE,tp,6.0
39,model_XGB,train,SMOTE,tp,999.0
40,model_XGB,val,SMOTE,tp,0.0
41,model_XGB,test,SMOTE,tp,2.0
42,model_XGB,train,SMOTE,tp,999.0
43,model_XGB,val,SMOTE,tp,0.0
44,model_XGB,test,SMOTE,tp,5.0
45,model_XGB,train,SMOTE,tp,999.0
46,model_XGB,val,SMOTE,tp,0.0
47,model_XGB,test,SMOTE,tp,4.0
48,model_XGB,train,SMOTE,tp,999.0
49,model_XGB,val,SMOTE,tp,0.0
50,model_XGB,test,SMOTE,tp,4.0
51,model_XGB,train,SMOTE,tp,999.0
52,model_XGB,val,SMOTE,tp,0.0
53,model_XGB,test,SMOTE,tp,5.0
54,model_XGB,train,SMOTE,tp,999.0
55,model_XGB,val,SMOTE,tp,0.0
56,model_XGB,test,SMOTE,tp,5.0
57,model_XGB,train,SMOTE,tp,999.0
58,model_XGB,val,SMOTE,tp,0.0
59,model_XGB,test,SMOTE,tp,2.0
60,model_logistic,train,imbalanced,tp,157.0
61,model_logistic,val,imbalanced,tp,18.0
62,model_logistic,test,imbalanced,tp,15.0
63,model_logistic,train,imbalanced,tp,153.0
64,model_logistic,val,imbalanced,tp,15.0
65,model_logistic,test,imbalanced,tp,13.0
66,model_logistic,train,imbalanced,tp,150.0
67,model_logistic,val,imbalanced,tp,17.0
68,model_logistic,test,imbalanced,tp,15.0
69,model_logistic,train,imbalanced,tp,152.0
70,model_logistic,val,imbalanced,tp,13.0
71,model_logistic,test,imbalanced,tp,14.0
72,model_logistic,train,imbalanced,tp,150.0
73,model_logistic,val,imbalanced,tp,17.0
74,model_logistic,test,imbalanced,tp,16.0
75,model_logistic,train,imbalanced,tp,155.0
76,model_logistic,val,imbalanced,tp,14.0
77,model_logistic,test,imbalanced,tp,15.0
78,model_logistic,train,imbalanced,tp,157.0
79,model_logistic,val,imbalanced,tp,16.0
80,model_logistic,test,imbalanced,tp,15.0
81,model_logistic,train,imbalanced,tp,155.0
82,model_logistic,val,imbalanced,tp,13.0
83,model_logistic,test,imbalanced,tp,15.0
84,model_logistic,train,imbalanced,tp,154.0
85,model_logistic,val,imbalanced,tp,17.0
86,model_logistic,test,imbalanced,tp,16.0
87,model_logistic,train,imbalanced,tp,152.0
88,model_logistic,val,imbalanced,tp,16.0
89,model_logistic,test,imbalanced,tp,15.0
90,model_logistic,train,SMOTE,tp,826.0
91,model_logistic,val,SMOTE,tp,18.0
92,model_logistic,test,SMOTE,tp,15.0
93,model_logistic,train,SMOTE,tp,823.0
94,model_logistic,val,SMOTE,tp,18.0
95,model_logistic,test,SMOTE,tp,15.0
96,model_logistic,train,SMOTE,tp,821.0
97,model_logistic,val,SMOTE,tp,19.0
98,model_logistic,test,SMOTE,tp,15.0
99,model_logistic,train,SMOTE,tp,809.0
100,model_logistic,val,SMOTE,tp,15.0
101,model_logistic,test,SMOTE,tp,15.0
102,model_logistic,train,SMOTE,tp,822.0
103,model_logistic,val,SMOTE,tp,18.0
104,model_logistic,test,SMOTE,tp,15.0
105,model_logistic,train,SMOTE,tp,844.0
106,model_logistic,val,SMOTE,tp,14.0
107,model_logistic,test,SMOTE,tp,15.0
108,model_logistic,train,SMOTE,tp,838.0
109,model_logistic,val,SMOTE,tp,17.0
110,model_logistic,test,SMOTE,tp,15.0
111,model_logistic,train,SMOTE,tp,842.0
112,model_logistic,val,SMOTE,tp,14.0
113,model_logistic,test,SMOTE,tp,15.0
114,model_logistic,train,SMOTE,tp,816.0
115,model_logistic,val,SMOTE,tp,17.0
116,model_logistic,test,SMOTE,tp,15.0
117,model_logistic,train,SMOTE,tp,837.0
118,model_logistic,val,SMOTE,tp,15.0
119,model_logistic,test,SMOTE,tp,15.0
120,model_LinearSVC,train,imbalanced,tp,155.0
121,model_LinearSVC,val,imbalanced,tp,18.0
122,model_LinearSVC,test,imbalanced,tp,15.0
123,model_LinearSVC,train,imbalanced,tp,152.0
124,model_LinearSVC,val,imbalanced,tp,15.0
125,model_LinearSVC,test,imbalanced,tp,14.0
126,model_LinearSVC,train,imbalanced,tp,154.0
127,model_LinearSVC,val,imbalanced,tp,15.0
128,model_LinearSVC,test,imbalanced,tp,16.0
129,model_LinearSVC,train,imbalanced,tp,155.0
130,model_LinearSVC,val,imbalanced,tp,13.0
131,model_LinearSVC,test,imbalanced,tp,14.0
132,model_LinearSVC,train,imbalanced,tp,153.0
133,model_LinearSVC,val,imbalanced,tp,17.0
134,model_LinearSVC,test,imbalanced,tp,16.0
135,model_LinearSVC,train,imbalanced,tp,154.0
136,model_LinearSVC,val,imbalanced,tp,14.0
137,model_LinearSVC,test,imbalanced,tp,15.0
138,model_LinearSVC,train,imbalanced,tp,156.0
139,model_LinearSVC,val,imbalanced,tp,15.0
140,model_LinearSVC,test,imbalanced,tp,15.0
141,model_LinearSVC,train,imbalanced,tp,157.0
142,model_LinearSVC,val,imbalanced,tp,12.0
143,model_LinearSVC,test,imbalanced,tp,15.0
144,model_LinearSVC,train,imbalanced,tp,153.0
145,model_LinearSVC,val,imbalanced,tp,17.0
146,model_LinearSVC,test,imbalanced,tp,15.0
147,model_LinearSVC,train,imbalanced,tp,155.0
148,model_LinearSVC,val,imbalanced,tp,17.0
149,model_LinearSVC,test,imbalanced,tp,15.0
150,model_LinearSVC,train,SMOTE,tp,830.0
151,model_LinearSVC,val,SMOTE,tp,18.0
152,model_LinearSVC,test,SMOTE,tp,15.0
153,model_LinearSVC,train,SMOTE,tp,825.0
154,model_LinearSVC,val,SMOTE,tp,15.0
155,model_LinearSVC,test,SMOTE,tp,14.0
156,model_LinearSVC,train,SMOTE,tp,823.0
